Aspect,Description / Feedback,Screenshot,Note from Tech Team
Giao diện (UI/UX),"Cách dòng ở mỗi đoạn và có 
(1) số thứ tự đối với phản hồi chỉ dẫn từng bước
(2) bullet points đối với liệt kê",,
Giao diện (UI/UX),"""Cuộc trò chuyện mới"" ở cùng một hàng",,
Giao diện (UI/UX),Chai rượu to hơn,,
Giao diện (UI/UX),"Các sản phẩm nên được sắp xếp theo phân khúc giá 
+ Cao 
+ Trung 
+ Thấp

Ví dụ khi gợi ý vang đỏ nên có 
+ 1 chai trên 1tr
+ 1 chai từ 500k - 1tr
+ 1 chai dưới 500k",,
Chất lượng câu trả lời,AI vẫn đang đưa sản phẩm ra sớm quá. Cần bám sát theo Quy định AI Agent. ,,
Chất lượng câu trả lời,"Cuối câu trả lời (1-2 câu đầu tiên) nên có câu hỏi gợi ý (Ví dụ: ChatGPT như hình). Đến câu thứ 3 mới gửi sản phẩm, trừ khi khách hỏi thẳng về sản phẩm. Bám theo Bám theo Quy định AI Agent. ",,
Chất lượng câu trả lời,"Giá nhiều sản phẩm bị sai 

+ Barolo
+ Albino",,
Chất lượng câu trả lời,Lưu ý những đoạn cần handoff cho tư vấn viên. Bám theo Quy định AI Agent. ,,
Chất lượng câu trả lời,"Câu hỏi về Vang ngọt nên chọn 3 chai 

+ Moscato
+ Brachetto
+ Florea ",,
Chất lượng câu trả lời,"Các câu trả lời nên ưu tiên Premium Collection tại Nhà Chát 

Link: https://www.nha-chat.com/collections/nha-chat-premium-fratelli-ponte",,
Giọng văn,"Dịu lại
Không cần quá sến và phô trương

Giọng văn nên nhẹ nhàng, khiêm tốn, không dùng quá nhiều từ ngữ hoa mỹ 
Khi mô tả hương vị có thể sensory hơn nhưng không quá trớn",,
Lỗi hệ thống,,,
Khác,,,